node1	node2	combined_score
CDC37	BCL2L1	0.000408
CDC37	CDKN2A	0.000444
CDC37	BTC	0.000499
CDC37	CASP8	0.000536
CDC37	ABL1	0.000617
CDC37	CDK2	0.000622
CDC37	AR	0.000661
CDC37	AKT2	0.000944
CDC37	AKT3	0.000963
CDC37	CDK6	0.000964
CDC37	BRAF	0.000991
CDC37	AKT1	0.000995
CDC37	CDK4	0.000999
CCND1	AREG	0.000435
CCND1	CCNA1	0.00046899999999999996
CCND1	CD274	0.000541
CCND1	ALK	0.000549
CCND1	AKT3	0.0005570000000000001
CCND1	CCNA2	0.00065
CCND1	CCNE2	0.0006670000000000001
CCND1	BECN1	0.000679
CCND1	CDKN3	0.00068
CCND1	CASP8	0.000687
CCND1	ATM	0.0006919999999999999
CCND1	CD44	0.000696
CCND1	CYP19A1	0.000712
CCND1	AKT2	0.000717
CCND1	ABL1	0.000742
CCND1	BCL2L11	0.000752
CCND1	ARID1A	0.000752
CCND1	CCNB1	0.0007970000000000001
CCND1	ANXA5	0.000808
CCND1	BCL2L1	0.000808
CCND1	CCNE1	0.000841
CCND1	CASP9	0.000844
CCND1	CASP3	0.000847
CCND1	CDH1	0.000851
CCND1	BRCA2	0.000861
CCND1	BRAF	0.000864
CCND1	E2F2	0.000871
CCND1	BRCA1	0.0009220000000000001
CCND1	AKT1	0.000923
CCND1	E2F1	0.0009379999999999999
CCND1	CCND3	0.000939
CCND1	CCND2	0.0009419999999999999
CCND1	AR	0.000955
CCND1	BCL2	0.000958
CCND1	CDC25A	0.0009699999999999999
CCND1	CTNNB1	0.000972
CCND1	CDKN2B	0.0009739999999999999
CCND1	CDKN2C	0.000989
CCND1	CDKN1C	0.000994
CCND1	CDKN2A	0.000998
CCND1	CDK2	0.000999
CCND1	CDKN1B	0.000999
CCND1	CDK4	0.000999
CCND1	CDK6	0.000999
CCND1	CDKN1A	0.000999
CDKN1B	BRCA2	0.000422
CDKN1B	AR	0.000448
CDKN1B	BRAF	0.000486
CDKN1B	ANXA5	0.000504
CDKN1B	BRCA1	0.000506
CDKN1B	CDH1	0.0005110000000000001
CDKN1B	CASP9	0.000513
CDKN1B	CTNNB1	0.000587
CDKN1B	CASP8	0.000621
CDKN1B	BCL2	0.0007019999999999999
CDKN1B	E2F2	0.0007109999999999999
CDKN1B	ATM	0.000713
CDKN1B	CASP3	0.000721
CDKN1B	ABL1	0.000746
CDKN1B	BCL2L11	0.000748
CDKN1B	CDKN3	0.000781
CDKN1B	E2F1	0.000812
CDKN1B	CDC25A	0.0008169999999999999
CDKN1B	BCL2L1	0.0008359999999999999
CDKN1B	CDKN2B	0.000859
CDKN1B	CDKN2A	0.00093
CDKN1B	CDKN1C	0.0009459999999999999
CDKN1B	CDKN2C	0.0009559999999999999
CDKN1B	AKT2	0.0009559999999999999
CDKN1B	AKT3	0.0009599999999999999
CDKN1B	CCNB1	0.000972
CDKN1B	CDKN1A	0.000982
CDKN1B	AKT1	0.000996
CDKN1B	CCNE2	0.000998
CDKN1B	CDK4	0.000999
CDKN1B	CDK6	0.000999
CDKN1B	CCND3	0.000999
CDKN1B	CCNE1	0.000999
CDKN1B	CDK2	0.000999
CDKN1B	CCNA1	0.000999
CDKN1B	CCND2	0.000999
CDKN1B	CCNA2	0.000999
CCNA1	AR	0.00040699999999999997
CCNA1	BCL2L11	0.000414
CCNA1	CDKN2B	0.000509
CCNA1	CDKN2C	0.000514
CCNA1	CDH1	0.0005250000000000001
CCNA1	CASP8	0.000541
CCNA1	BRCA2	0.0005759999999999999
CCNA1	BCL2L1	0.000583
CCNA1	ANXA5	0.0006
CCNA1	CASP9	0.000609
CCNA1	AKT1	0.000671
CCNA1	CDKN2A	0.000671
CCNA1	BCL2	0.0006889999999999999
CCNA1	CTNNB1	0.0006919999999999999
CCNA1	CASP3	0.000694
CCNA1	CDKN3	0.000733
CCNA1	BRCA1	0.0007790000000000001
CCNA1	ATM	0.0008100000000000001
CCNA1	CCNE2	0.0008209999999999999
CCNA1	CCNB1	0.000847
CCNA1	CCNE1	0.000907
CCNA1	CDC25A	0.0009130000000000001
CCNA1	E2F2	0.000964
CCNA1	CCNA2	0.000977
CCNA1	CDK4	0.000988
CCNA1	CDKN1C	0.000988
CCNA1	CDK6	0.000993
CCNA1	CDKN1A	0.000999
CCNA1	CDK2	0.000999
CCNA1	E2F1	0.000999
CCNB1	BRAF	0.00040500000000000003
CCNB1	BECN1	0.000406
CCNB1	AR	0.00041799999999999997
CCNB1	CDKN2B	0.000433
CCNB1	BCL2L11	0.00045900000000000004
CCNB1	CDKN2C	0.000491
CCNB1	E2F2	0.000515
CCNB1	CCND2	0.000588
CCNB1	CASP8	0.0006039999999999999
CCNB1	CTNNB1	0.000624
CCNB1	BRCA2	0.00063
CCNB1	BCL2L1	0.000631
CCNB1	ANXA5	0.000675
CCNB1	CDH1	0.0006860000000000001
CCNB1	AKT1	0.0007019999999999999
CCNB1	CCNE1	0.000746
CCNB1	CCNE2	0.000755
CCNB1	BCL2	0.000768
CCNB1	CDKN2A	0.000772
CCNB1	ATM	0.000775
CCNB1	CASP3	0.000798
CCNB1	CASP9	0.000803
CCNB1	CDKN1C	0.0008259999999999999
CCNB1	E2F1	0.000834
CCNB1	BRCA1	0.000916
CCNB1	CDK6	0.0009270000000000001
CCNB1	CDK4	0.00094
CCNB1	CDKN3	0.000941
CCNB1	CDKN1A	0.000977
CCNB1	CDC25A	0.000995
CCNB1	CCNA2	0.000995
CCNB1	CDK2	0.000999
CDK4	BRAF	0.000422
CDK4	BECN1	0.000495
CDK4	BCL2L11	0.000507
CDK4	CD44	0.000523
CDK4	AR	0.0005510000000000001
CDK4	ARNT	0.0005570000000000001
CDK4	CD274	0.0005909999999999999
CDK4	CASP8	0.000602
CDK4	BCL2L1	0.000656
CDK4	CASP9	0.000661
CDK4	CYP19A1	0.0006630000000000001
CDK4	AKT1	0.000691
CDK4	ANXA5	0.0006929999999999999
CDK4	CDH1	0.000712
CDK4	ARID1A	0.000713
CDK4	ABL1	0.0007289999999999999
CDK4	CASP3	0.00075
CDK4	CTNNB1	0.000795
CDK4	E2F2	0.000805
CDK4	BCL2	0.000815
CDK4	CDKN3	0.0008349999999999999
CDK4	ATM	0.000937
CDK4	BRCA2	0.0009429999999999999
CDK4	E2F1	0.000958
CDK4	BRCA1	0.000972
CDK4	CDC25A	0.000979
CDK4	CCNE2	0.000988
CDK4	CDKN1C	0.000994
CDK4	CDK2	0.000998
CDK4	CDKN2A	0.000999
CDK4	CCNA2	0.000999
CDK4	CCND2	0.000999
CDK4	CCND3	0.000999
CDK4	CDKN1A	0.000999
CDK4	CDKN2C	0.000999
CDK4	CDK6	0.000999
CDK4	CDKN2B	0.000999
CDK4	CCNE1	0.000999
CCND2	CYP19A1	0.000416
CCND2	CDH1	0.000437
CCND2	ANXA5	0.00044
CCND2	BRCA1	0.000456
CCND2	ATM	0.00047599999999999997
CCND2	AKT3	0.000479
CCND2	CD44	0.000512
CCND2	CASP3	0.0005290000000000001
CCND2	BCL2L1	0.000545
CCND2	CTNNB1	0.0005600000000000001
CCND2	BRAF	0.0006
CCND2	CCNE2	0.000601
CCND2	CCNA2	0.00061
CCND2	BCL2L11	0.000618
CCND2	CCNE1	0.00064
CCND2	AKT1	0.0006810000000000001
CCND2	ABL1	0.0007099999999999999
CCND2	E2F1	0.000791
CCND2	E2F2	0.000838
CCND2	BCL2	0.000885
CCND2	CCND3	0.000937
CCND2	CDC25A	0.000955
CCND2	CDKN2B	0.000962
CCND2	CDKN2C	0.000963
CCND2	CDKN2A	0.00099
CCND2	CDKN1C	0.000994
CCND2	CDK2	0.000995
CCND2	CDK6	0.000999
CCND2	CDKN1A	0.000999
CDH1	AKT3	0.00040899999999999997
CDH1	ABL1	0.000433
CDH1	BECN1	0.000447
CDH1	ARID1A	0.000447
CDH1	CDKN2B	0.000449
CDH1	ALK	0.000449
CDH1	AKT2	0.00046100000000000004
CDH1	AREG	0.00046300000000000003
CDH1	BCL2L11	0.000477
CDH1	ATM	0.00047799999999999996
CDH1	BRCA2	0.000479
CDH1	CCNE1	0.000489
CDH1	CCNA2	0.000527
CDH1	CDKN1A	0.000583
CDH1	BCL2L1	0.000587
CDH1	CASP9	0.000589
CDH1	BRAF	0.000598
CDH1	CDK2	0.000603
CDH1	AR	0.000629
CDH1	E2F1	0.000643
CDH1	CDK6	0.000666
CDH1	ANXA5	0.0006680000000000001
CDH1	BRCA1	0.0006760000000000001
CDH1	CASP8	0.0006919999999999999
CDH1	CDKN2A	0.000713
CDH1	CD274	0.000718
CDH1	BCL2	0.000736
CDH1	AKT1	0.000903
CDH1	CD44	0.0009270000000000001
CDH1	CASP3	0.0009559999999999999
CDH1	CTNNB1	0.000999
CCNE1	AKT2	0.000406
CCNE1	CDKN3	0.00041999999999999996
CCNE1	CASP9	0.00044500000000000003
CCNE1	BCL2L1	0.000449
CCNE1	ANXA5	0.00046899999999999996
CCNE1	AR	0.000501
CCNE1	BRAF	0.0005250000000000001
CCNE1	BCL2L11	0.00053
CCNE1	ATM	0.000537
CCNE1	CDKN2C	0.000559
CCNE1	CASP3	0.0005769999999999999
CCNE1	BRCA2	0.000588
CCNE1	CDKN2B	0.000596
CCNE1	BCL2	0.000609
CCNE1	ARID1A	0.00062
CCNE1	CCND3	0.000629
CCNE1	AKT1	0.0006670000000000001
CCNE1	CTNNB1	0.0006850000000000001
CCNE1	BRCA1	0.000718
CCNE1	CDKN2A	0.0008139999999999999
CCNE1	CCNA2	0.000903
CCNE1	E2F2	0.0009080000000000001
CCNE1	E2F1	0.0009419999999999999
CCNE1	CCNE2	0.0009559999999999999
CCNE1	CDKN1C	0.000973
CCNE1	CDC25A	0.000991
CCNE1	CDK6	0.000999
CCNE1	CDKN1A	0.000999
CCNE1	CDK2	0.000999
CDKN2C	E2F2	0.000404
CDKN2C	CCNE2	0.000467
CDKN2C	AKT1	0.00048699999999999997
CDKN2C	CDKN3	0.000536
CDKN2C	ATM	0.000544
CDKN2C	CCNA2	0.0005769999999999999
CDKN2C	BRAF	0.0005989999999999999
CDKN2C	E2F1	0.000607
CDKN2C	CDK2	0.000669
CDKN2C	CDKN2B	0.000751
CDKN2C	CDKN2A	0.000815
CDKN2C	CDKN1C	0.000858
CDKN2C	CDKN1A	0.000902
CDKN2C	CCND3	0.000993
CDKN2C	CDK6	0.000999
CDK6	ARID1A	0.000422
CDK6	CD274	0.000429
CDK6	CYP19A1	0.000434
CDK6	AKT1	0.000443
CDK6	BCL2L11	0.000447
CDK6	CASP8	0.000483
CDK6	CD44	0.000489
CDK6	BRCA2	0.00049
CDK6	ABL1	0.0005600000000000001
CDK6	CASP9	0.00057
CDK6	BRCA1	0.000578
CDK6	BCL2L1	0.000587
CDK6	ATM	0.000619
CDK6	ANXA5	0.000633
CDK6	AR	0.0006540000000000001
CDK6	CASP3	0.00067
CDK6	BCL2	0.000712
CDK6	CTNNB1	0.000752
CDK6	E2F2	0.000776
CDK6	CDKN3	0.000901
CDK6	E2F1	0.0009310000000000001
CDK6	CCNE2	0.000959
CDK6	CDC25A	0.000986
CDK6	CDKN1C	0.000995
CDK6	CDK2	0.000998
CDK6	CCND3	0.000999
CDK6	CDKN1A	0.000999
CDK6	CDKN2B	0.000999
CDK6	CCNA2	0.000999
CDK6	CDKN2A	0.000999
CDK2	BECN1	0.00040300000000000004
CDK2	CYP19A1	0.000421
CDK2	AR	0.000495
CDK2	BCL2L11	0.000505
CDK2	ABL1	0.00053
CDK2	AKT1	0.0005769999999999999
CDK2	BCL2L1	0.000664
CDK2	CASP9	0.0006730000000000001
CDK2	ANXA5	0.000683
CDK2	CTNNB1	0.000733
CDK2	CASP8	0.000756
CDK2	CDKN2B	0.000799
CDK2	BCL2	0.000812
CDK2	CASP3	0.000829
CDK2	BRCA2	0.0009459999999999999
CDK2	E2F2	0.000962
CDK2	ATM	0.000966
CDK2	BRCA1	0.000984
CDK2	CDKN2A	0.000993
CDK2	E2F1	0.000997
CDK2	CDC25A	0.000998
CDK2	CCNA2	0.000999
CDK2	CDKN1C	0.000999
CDK2	CCNE2	0.000999
CDK2	CDKN1A	0.000999
CDK2	CCND3	0.000999
CDK2	CDKN3	0.000999
CDKN2B	CDC25A	0.000402
CDKN2B	ARID1A	0.000434
CDKN2B	BCL2	0.000437
CDKN2B	BRCA2	0.000449
CDKN2B	CTNNB1	0.000453
CDKN2B	CD44	0.00046100000000000004
CDKN2B	ABL1	0.00046300000000000003
CDKN2B	BRCA1	0.000493
CDKN2B	E2F1	0.000507
CDKN2B	ATM	0.000518
CDKN2B	CCNA2	0.000519
CDKN2B	BRAF	0.0005340000000000001
CDKN2B	AKT1	0.00058
CDKN2B	CDKN3	0.000722
CDKN2B	CDKN1C	0.0008349999999999999
CDKN2B	CDKN1A	0.0008900000000000001
CDKN2B	CCND3	0.0009459999999999999
CDKN2B	CDKN2A	0.0009509999999999999
ATM	AKT3	0.000424
ATM	CD44	0.000434
ATM	BECN1	0.000438
ATM	AKT2	0.00045400000000000003
ATM	E2F2	0.000464
ATM	AREG	0.000467
ATM	CCND3	0.00047799999999999996
ATM	BCL2L11	0.000483
ATM	CDKN3	0.000531
ATM	AR	0.000539
ATM	CASP9	0.0005669999999999999
ATM	ALK	0.0005769999999999999
ATM	ANXA5	0.000605
ATM	BCL2L1	0.000617
ATM	CTNNB1	0.00062
ATM	ARID1A	0.000661
ATM	CD274	0.0006889999999999999
ATM	CASP3	0.0007019999999999999
ATM	BCL2	0.000712
ATM	AKT1	0.000742
ATM	E2F1	0.000756
ATM	BRAF	0.000778
ATM	CDKN1A	0.0008070000000000001
ATM	CCNA2	0.000815
ATM	CDKN2A	0.000847
ATM	CDC25A	0.000861
ATM	CASP8	0.0009609999999999999
ATM	ABL1	0.000988
ATM	BRCA2	0.000995
ATM	BRCA1	0.000999
ANXA5	ALK	0.00040300000000000004
ANXA5	CDKN3	0.00045900000000000004
ANXA5	CCND3	0.00046100000000000004
ANXA5	AR	0.000464
ANXA5	BRCA1	0.00049
ANXA5	CD274	0.000519
ANXA5	E2F1	0.000533
ANXA5	CDKN2A	0.0005380000000000001
ANXA5	BRAF	0.000578
ANXA5	ABL1	0.000608
ANXA5	CCNA2	0.00062
ANXA5	CDKN1A	0.000661
ANXA5	BECN1	0.000678
ANXA5	CTNNB1	0.000694
ANXA5	BCL2L11	0.000712
ANXA5	CD44	0.000733
ANXA5	BCL2L1	0.000796
ANXA5	AKT1	0.0008209999999999999
ANXA5	CASP8	0.000842
ANXA5	CASP9	0.000885
ANXA5	BCL2	0.0008990000000000001
ANXA5	CASP3	0.000921
CDC25A	BCL2L1	0.00041799999999999997
CDC25A	CD274	0.000448
CDC25A	CTNNB1	0.000462
CDC25A	CASP3	0.000472
CDC25A	CDKN1C	0.00047599999999999997
CDC25A	CDKN2A	0.00048699999999999997
CDC25A	BCL2	0.000513
CDC25A	AKT1	0.0005340000000000001
CDC25A	BRCA2	0.000555
CDC25A	CDKN3	0.0005669999999999999
CDC25A	E2F2	0.000606
CDC25A	CDKN1A	0.000847
CDC25A	E2F1	0.000907
CDC25A	BRCA1	0.000929
CDC25A	CCNA2	0.000934
CDC25A	CCND3	0.000953
CDC25A	CCNE2	0.000984
CASP3	CCNE2	0.00043
CASP3	ALK	0.00045
CASP3	CYP19A1	0.00046800000000000005
CASP3	CD274	0.000524
CASP3	CCND3	0.000526
CASP3	CDKN3	0.0005340000000000001
CASP3	ARNT	0.000553
CASP3	BRCA1	0.0005769999999999999
CASP3	AR	0.000597
CASP3	E2F1	0.0006039999999999999
CASP3	ABL1	0.000608
CASP3	BRAF	0.000611
CASP3	CDKN2A	0.000615
CASP3	BRCA2	0.000623
CASP3	CD44	0.000653
CASP3	AKT2	0.0006580000000000001
CASP3	CCNA2	0.0007059999999999999
CASP3	AKT3	0.0007650000000000001
CASP3	BCL2L11	0.0008629999999999999
CASP3	BECN1	0.000925
CASP3	AKT1	0.000945
CASP3	BCL2L1	0.00095
CASP3	CTNNB1	0.0009649999999999999
CASP3	BCL2	0.000987
CASP3	CDKN1A	0.000996
CASP3	CASP8	0.000999
CASP3	CASP9	0.000999
ARID1A	CDKN1A	0.000404
ARID1A	AKT2	0.00045200000000000004
ARID1A	ALK	0.0005719999999999999
ARID1A	CD274	0.000583
ARID1A	AKT1	0.0005909999999999999
ARID1A	AR	0.000624
ARID1A	BRCA2	0.0006630000000000001
ARID1A	CTNNB1	0.000684
ARID1A	BRAF	0.0007019999999999999
ARID1A	CDKN2A	0.0007199999999999999
ARID1A	BRCA1	0.0008010000000000001
CASP9	CCND3	0.00040300000000000004
CASP9	BRAF	0.000417
CASP9	CD44	0.000451
CASP9	CDKN2A	0.00045200000000000004
CASP9	ARNT	0.000464
CASP9	E2F1	0.000474
CASP9	BRCA1	0.000574
CASP9	CCNA2	0.000606
CASP9	CTNNB1	0.000621
CASP9	ABL1	0.000629
CASP9	CDKN1A	0.000713
CASP9	BCL2L11	0.000864
CASP9	BECN1	0.000928
CASP9	AKT3	0.000937
CASP9	AKT2	0.0009419999999999999
CASP9	CASP8	0.000944
CASP9	BCL2	0.0009459999999999999
CASP9	AKT1	0.000989
CASP9	BCL2L1	0.000992
CDKN3	BRAF	0.00040899999999999997
CDKN3	AREG	0.000421
CDKN3	BCL2L11	0.000435
CDKN3	BCL2L1	0.000464
CDKN3	CTNNB1	0.00046899999999999996
CDKN3	E2F1	0.000544
CDKN3	BRCA1	0.0005819999999999999
CDKN3	BCL2	0.000584
CDKN3	AKT1	0.000598
CDKN3	CDKN1C	0.000748
CDKN3	CDKN2A	0.000842
CDKN3	CDKN1A	0.0009459999999999999
CDKN3	CCNA2	0.0009469999999999999
E2F1	ABL1	0.000437
E2F1	CASP8	0.000464
E2F1	BRAF	0.000467
E2F1	BRCA2	0.000518
E2F1	CTNNB1	0.000624
E2F1	BCL2L1	0.0007019999999999999
E2F1	BCL2L11	0.000707
E2F1	CCND3	0.000777
E2F1	BCL2	0.000778
E2F1	CDKN1C	0.0007930000000000001
E2F1	AKT1	0.0007970000000000001
E2F1	AR	0.0008010000000000001
E2F1	BRCA1	0.000879
E2F1	CCNE2	0.000883
E2F1	CDKN2A	0.000969
E2F1	CDKN1A	0.000977
E2F1	E2F2	0.000993
E2F1	CCNA2	0.000999
CASP8	BRAF	0.00044
CASP8	CD274	0.00044500000000000003
CASP8	BRCA1	0.00046800000000000005
CASP8	ABL1	0.00047099999999999996
CASP8	CD44	0.000491
CASP8	AR	0.000536
CASP8	CCNA2	0.000541
CASP8	CDKN2A	0.0005859999999999999
CASP8	CDKN1A	0.000621
CASP8	BCL2L11	0.000753
CASP8	CTNNB1	0.000768
CASP8	AKT1	0.00079
CASP8	BECN1	0.000914
CASP8	BCL2L1	0.000933
CASP8	BCL2	0.000984
ARNT	BCL2	0.000421
ARNT	AR	0.000465
ARNT	CDKN2A	0.000578
ARNT	BRCA1	0.000646
ARNT	CTNNB1	0.000732
ARNT	AKT1	0.000771
BECN1	AR	0.000482
BECN1	CTNNB1	0.0005470000000000001
BECN1	BRCA1	0.000603
BECN1	CDKN2A	0.000671
BECN1	ABL1	0.000873
BECN1	AKT1	0.0009180000000000001
BECN1	BCL2L11	0.000987
BECN1	BCL2L1	0.000999
BECN1	BCL2	0.000999
E2F2	BRCA1	0.000447
E2F2	AKT1	0.00047099999999999996
E2F2	CDKN2A	0.000648
E2F2	CDKN1C	0.0007009999999999999
E2F2	CCND3	0.000743
E2F2	CDKN1A	0.000778
E2F2	CCNE2	0.0008449999999999999
E2F2	CCNA2	0.000973
ABL1	CD44	0.000404
ABL1	AKT1	0.00040899999999999997
ABL1	CD274	0.000432
ABL1	AR	0.0005110000000000001
ABL1	BRCA2	0.000514
ABL1	BCL2L11	0.0005420000000000001
ABL1	CDKN1C	0.000554
ABL1	CCND3	0.000575
ABL1	BCL2	0.0006730000000000001
ABL1	BCL2L1	0.000722
ABL1	CDKN2A	0.000763
ABL1	CDKN1A	0.000878
ABL1	CTNNB1	0.000949
ABL1	BRCA1	0.0009559999999999999
CCND3	BRAF	0.00041299999999999996
CCND3	AREG	0.00044500000000000003
CCND3	CTNNB1	0.000451
CCND3	BCL2L1	0.000499
CCND3	CCNE2	0.000603
CCND3	BCL2	0.0006039999999999999
CCND3	CCNA2	0.000618
CCND3	AKT1	0.000761
CCND3	CDKN2A	0.000975
CCND3	CDKN1C	0.000992
CCND3	CDKN1A	0.000999
AR	CCNA2	0.000431
AR	BCL2L1	0.000477
AR	CDKN1A	0.00047999999999999996
AR	CD274	0.000509
AR	CD44	0.000527
AR	BRCA2	0.000594
AR	CDKN2A	0.000617
AR	BCL2	0.000623
AR	BRAF	0.000683
AR	CYP19A1	0.000787
AR	AKT1	0.0008950000000000001
AR	BRCA1	0.0009080000000000001
AR	CTNNB1	0.000996
BCL2L1	BRCA1	0.000448
BCL2L1	CD274	0.000488
BCL2L1	BRAF	0.0005570000000000001
BCL2L1	CD44	0.000583
BCL2L1	CCNA2	0.000584
BCL2L1	CDKN1A	0.000704
BCL2L1	CTNNB1	0.000766
BCL2L1	CDKN2A	0.0008139999999999999
BCL2L1	AKT3	0.0009310000000000001
BCL2L1	AKT2	0.000939
BCL2L1	AKT1	0.000991
BCL2L1	BCL2	0.000999
BCL2L1	BCL2L11	0.000999
BRCA2	CCNE2	0.00041099999999999996
BRCA2	BCL2	0.000453
BRCA2	CYP19A1	0.000527
BRCA2	CTNNB1	0.0005430000000000001
BRCA2	ALK	0.0005520000000000001
BRCA2	CD274	0.0005909999999999999
BRCA2	AKT1	0.000605
BRCA2	CDKN1A	0.000635
BRCA2	BRAF	0.000721
BRCA2	CDKN2A	0.0008060000000000001
BRCA2	CCNA2	0.000877
BRCA2	BRCA1	0.000999
CD274	BCL2	0.0005899999999999999
CD274	BRCA1	0.00062
CD274	CTNNB1	0.000643
CD274	CDKN2A	0.000644
CD274	CD44	0.000684
CD274	AKT1	0.0007199999999999999
CD274	BRAF	0.000799
CD274	ALK	0.0008179999999999999
ALK	BRAF	0.00040500000000000003
ALK	BRCA1	0.000544
ALK	BCL2	0.000579
ALK	CTNNB1	0.000625
ALK	CDKN2A	0.000664
AKT2	BCL2L11	0.00040100000000000004
AKT2	CDKN2A	0.000465
AKT2	CYP19A1	0.000502
AKT2	CCNA2	0.000527
AKT2	CTNNB1	0.000721
AKT2	BRCA1	0.0009379999999999999
AKT2	BCL2	0.00095
AKT2	CDKN1A	0.000955
AKT2	AKT3	0.0009649999999999999
AKT2	AKT1	0.000991
BCL2L11	CCNA2	0.000431
BCL2L11	CD44	0.000446
BCL2L11	CTNNB1	0.0005250000000000001
BCL2L11	CDKN2A	0.000541
BCL2L11	CDKN1A	0.000726
BCL2L11	BRAF	0.0007830000000000001
BCL2L11	AKT1	0.000833
BCL2L11	BCL2	0.000999
BTC	AKT1	0.000446
BTC	AREG	0.000991
AREG	CYP19A1	0.00041099999999999996
AREG	BRAF	0.00041799999999999997
AREG	CTNNB1	0.000421
AREG	AKT1	0.0005809999999999999
AREG	CD44	0.0005859999999999999
CYP19A1	CTNNB1	0.000506
CYP19A1	BCL2	0.000524
CYP19A1	CD44	0.000545
CYP19A1	BRCA1	0.0006
CYP19A1	AKT1	0.000748
BCL2	CDKN1C	0.000404
BCL2	CCNE2	0.000498
BCL2	CCNA2	0.00069
BCL2	CD44	0.0006919999999999999
BCL2	CDKN2A	0.000717
BCL2	BRAF	0.000761
BCL2	CTNNB1	0.000781
BCL2	BRCA1	0.0008
BCL2	CDKN1A	0.00082
BCL2	AKT3	0.0009469999999999999
BCL2	AKT1	0.000993
CDKN1A	CD44	0.000494
CDKN1A	BRAF	0.000508
